Sleep Deprivation Controls						
Gene	PMID	Species	Method	PMID	Species	Method
Arc	18077435	mouse	qPCR	20501693	mouse/rat	MA
Bdnf	18077451	mouse	qPCR			
Calr	18077436	mouse	qPCR			
Cirbp	18077452	mouse	qPCR			
Crh	18077453	mouse	qPCR	20501693	mouse/rat	MA
Dbp	18077450	mouse	qPCR			
Dio2	18077437	mouse	qPCR			
Dusp1				20501693	mouse/rat	MA
Egr1	18077454	mouse	qPCR	20501693	mouse/rat	MA
Egr2				20501693	mouse/rat	MA
Egr3	18077455	mouse	qPCR			
Fos	18077438	mouse	qPCR			
Homer1a	18077461	mouse	qPCR	20501693	mouse/rat	MA
Hsp5a	18077439	mouse	qPCR			
Hspa1b	18077440	mouse	qPCR			
Hspb1	18077441	mouse	qPCR			
Klf10				20501693	mouse/rat	MA
Nptx2	18077456	mouse	qPCR			
Nr4a1	18077442	mouse	qPCR	20501693	mouse/rat	MA
Nr4a3				20501693	mouse/rat	MA
P4ha1	18077443	mouse	qPCR			
Per1	18077444	mouse	qPCR			
Per2	18077445	mouse	qPCR			
Ppm2c/Pdp1				20501693	mouse/rat	MA
Ptgs2				20501693	mouse/rat	MA
Sgk	18077457	mouse	qPCR			
Slc2a1	18077458	mouse	qPCR			
Sult1a1	18077447	mouse	qPCR	20501693	mouse/rat	MA
Tfrc	18077448	mouse	qPCR			
Tipin	18077449	mouse	qPCR			
Tmem10/Opalin	18077459	mouse	qPCR			
Tsc22d3	18077460	mouse	qPCR			
	Source			Source		
						
Recovery Sleep Controls						
Bdnf	16257491	rat	MA			
Egr3	12535952	mouse	qPCR			
Fosl2	12535952	mouse	qPCR			
Hsp90b1	12535952	mouse	qPCR			
Hspa5	12535952	mouse	qPCR			
Junb	16257491	rat	MA			
Nptx2	16257491	rat	MA			
