	x
Gm2444	1
Zfp831	2
Gm11549	1
Gm15337	3
Cbarp	1
Pwwp2b	2
Slc6a15	3
Mgat4b	2
Ano6	4
Amigo2	1
Prickle1	1
Prkab2	2
Cela1	3
Syt17	2
Acr	4
Zbtb21	1
Adcyap1	4
Atp6v0c	4
Hrk	2
Fabp7	4
Bmp1	3
Capn5	3
Cntn1	4
Col1a2	1
Ddn	2
Mpp3	4
Elk1	2
Sfxn1	4
Plxnb2	3
Fosl2	1
Fst	1
Slc6a13	4
Gng4	4
Gsta4	3
Hmgcr	4
Ifrd1	1
Jun	4
Kcnj9	3
Kcnk1	1
Kcnk2	4
Kifc2	3
Ldlr	4
Syt12	1
Matn2	2
Mttp	3
Ncf1	1
Nedd9	1
Nfil3	1
Nptx1	2
Ntrk2	1
Pdyn	1
Per3	2
Pou6f1	3
Mapk11	2
Ptprj	1
Rasgrf2	3
Reln	4
Rgs16	2
Rgs4	4
Rpl29	3
Ryr1	3
Sema3a	1
Sema5a	4
Sst	4
Sox4	4
Stat4	4
Cpne9	3
Ccdc92	2
Tef	2
Wscd1	3
Hlf	2
Nr1d1	3
BC006965	4
Tnfrsf8	3
Tub	2
Tuba1c	3
Vip	1
Gxylt1	1
Pphln1	2
Rnd1	4
R3hdm1	4
Insig1	4
Ablim2	2
Amz1	3
Clstn3	1
Psd3	2
Stard8	1
Slc24a4	2
Jcad	1
Setbp1	4
Spry4	1
Plekha6	3
Cfap100	2
Prss35	2
Dnajc28	2
Creg2	3
Map3k5	4
Mapk1	3
Mapk3	3
Slc7a11	4
Rapgefl1	3
Abcd2	3
Gprin1	2
Sytl1	3
Plch2	2
Gsg1l	2
Zfp651	1
Phf21b	4
Trp53bp1	4
Flnb	3
Cttnbp2	4
Slc22a4	3
Itga11	2
Lmbrd2	3
Islr2	2
Ccbe1	2
AI593442	4
Map3k9	4
Rap1gap2	2
Tmem106c	3
Stum	2
Sgpp2	3
Maml3	1
Rnf207	3
Postn	3
Echdc2	2
Nptx2	1
B3gnt2	1
Deaf1	3
Syt7	3
Extl1	3
Hdac7	3
Jmy	2
Fxyd7	4
Nek6	2
Olfr287	3
Dusp10	4
Syne1	1
Parvg	4
Nenf	3
Gm7984	2
Lrrk2	2
Smarca2	2
Zmynd19	4
Kcnv1	4
Rpl41	4
Diras2	4
Tspan11	1
Wipf2	2
Rabl2	3
Prrt2	2
Ddah1	1
Dennd6b	3
Wnk4	1
Rab3b	4
Taf15	4
Medag	2
Susd2	3
Rpap3	3
Aifm3	2
Lsm11	1
1810041L15Rik	4
Dusp3	4
Ppme1	4
Ddit4l	4
Poldip3	1
Krt80	1
Tmem114	2
Glt8d2	2
Fggy	3
Pkd1l2	2
Tbc1d9b	3
Hdac9	4
Bhlhe41	3
Chia1	3
Jdp2	1
Sorcs2	1
Otof	3
