	SYMBOL	ENTREZID
1	Rgs16	19734
2	Mgat4b	103534
3	Gprin1	26913
4	Gm7984	666211
5	Nek6	59126
6	Tmem114	74720
7	Psd3	234353
8	Dnajc28	246738
9	Zfp831	100043757
10	Prkab2	108097
11	Mapk11	19094
12	Tub	22141
13	Stum	381310
14	Wipf2	68524
15	Nptx1	18164
16	Islr2	320563
17	Itga11	319480
18	Matn2	17181
19	Cfap100	243538
20	Hrk	12123
21	Prss35	244954
22	Ccbe1	320924
23	Pwwp2b	101631
24	Jmy	57748
25	Smarca2	67155
26	Per3	18628
27	Hlf	217082
28	Plch2	269615
29	Ablim2	231148
30	Elk1	13712
31	Ccdc92	215707
32	Aifm3	72168
33	Lrrk2	66725
34	Pkd1l2	76645
35	Prrt2	69017
36	Syt17	110058
37	Glt8d2	74782
38	Rap1gap2	380711
39	Gsg1l	269994
40	Pphln1	223828
41	Slc24a4	238384
42	Postn	50706
43	Echdc2	52430
44	Medag	70717
45	Sgpp2	433323
46	Rabl2	68708
47	Plxnb2	140570
48	Rnf207	433809
49	Ryr1	20190
50	Tbc1d9b	76795
51	Gsta4	14860
52	Plekha6	240753
53	Ddn	13199
54	Tef	21685
55	Otof	83762
56	Rpl29	19944
57	Lmbrd2	320506
58	Gm15337	100503620
59	Sytl1	269589
60	Flnb	286940
61	Bmp1	12153
62	Rasgrf2	19418
63	Kifc2	16581
64	Dennd6b	69440
65	Deaf1	54006
66	Hdac7	56233
67	Cpne9	211232
68	Extl1	56219
69	Susd2	71733
70	Tnfrsf8	21941
71	Mapk3	26417
72	Kcnj9	16524
73	Pou6f1	19009
74	Tmem106c	380967
75	Rpap3	71919
76	Creg2	263764
77	Amz1	231842
78	Slc6a15	103098
79	Wscd1	216881
80	Capn5	12337
81	Mttp	17777
82	Nr1d1	217166
83	Abcd2	26874
84	Cela1	109901
85	Olfr287	634104
86	Nenf	66208
87	Rapgefl1	268480
88	Bhlhe41	79362
89	Syt7	54525
90	Slc22a4	30805
91	Chia1	81600
92	Fggy	75578
93	Tuba1c	22146
94	Mapk1	26413
95	Nfil3	18030
96	Fosl2	14284
97	Maml3	433586
98	Krt80	74127
99	Sorcs2	81840
100	Wnk4	69847
101	Cbarp	100503659
102	Fst	14313
103	Vip	22353
104	Zfp651	270210
105	Jdp2	81703
106	Ncf1	17969
107	Ifrd1	15982
108	Lsm11	72290
109	Kcnk1	16525
110	Spry4	24066
111	Amigo2	105827
112	Nedd9	18003
113	Gm11549	100503068
114	Syne1	64009
115	Ptprj	19271
116	Jcad	240185
117	Col1a2	12843
118	Stard8	236920
119	B3gnt2	53625
120	Zbtb21	114565
121	Nptx2	53324
122	Jun	16476
123	Clstn3	232370
124	Ddah1	69219
125	Poldip3	73826
127	Tspan11	68498
128	Syt12	171180
129	Ntrk2	18212
130	Sema3a	20346
131	Prickle1	106042
132	Gxylt1	223827
133	Atp6v0c	11984
134	Taf15	70439
135	Parvg	64099
136	Acr	11434
137	Rgs4	19736
138	R3hdm1	226412
139	1810041L15Rik	72301
140	Sox4	20677
141	Sema5a	20356
142	Hmgcr	15357
143	Dusp3	72349
144	Hdac9	79221
145	BC006965	217294
146	AI593442	330941
147	Fabp7	12140
148	Mpp3	13384
149	Fxyd7	57780
150	Ldlr	16835
151	Map3k9	338372
152	Stat4	20849
153	Insig1	231070
154	Diras2	68203
155	Gng4	14706
156	Phf21b	271305
157	Pdyn	18610
158	Zmynd19	67187
159	Slc6a13	14412
160	Cttnbp2	30785
161	Rnd1	223881
162	Adcyap1	11516
163	Cntn1	12805
164	Sst	20604
165	Rab3b	69908
166	Rpl41	67945
167	Ano6	105722
168	Dusp10	63953
169	Map3k5	26408
170	Slc7a11	26570
171	Reln	19699
172	Trp53bp1	27223
173	Ppme1	72590
174	Setbp1	240427
175	Kcnk2	16526
176	Ddit4l	73284
177	Sfxn1	14057
178	Kcnv1	67498
